% Device,CC1747005
% File name,CC1747005_20220913_172947
% Cast time (UTC),2022-09-13 17:29:47
% Cast time (local),2022-09-13 14:29:47
% Sample type,Cast
% Cast data,Down & up
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,45.1435242
% Start longitude,-66.2628987
% Start altitude,-11.020000457763672
% Start GPS horizontal error(Meter),6.429999828338623
% Start GPS vertical error(Meter),10.090000152587891
% Start GPS number of satellites,6
% End latitude,45.1437059
% End longitude,-66.2630172
% End altitude,-39.349998474121094
% End GPS horizontal error(Meter),7.03000020980835
% End GPS vertical error(Meter),12.949999809265137
% End GPS number of satellites,5
% Cast duration (Seconds),72.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2017-12-06
% Temperature calibration date,2017-11-30
% Pressure calibration date,2017-11-29
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14987917264623893,16.009781930496182,36237.897863640341,44182.017262438407,28.254124521091455,1502.049264908321,1020.5654317956669
0.44999999999999996,0.44917079124670406,14.42716374997703,39074.256842655814,49552.457146601853,31.98758237687861,1501.335801832302,1023.7745857912252
0.74999999999999989,0.74797854367477634,14.291145896933841,39035.961439288738,49675.264678822947,32.065084288350562,1500.9905869697307,1023.8640218327727
1.05,1.0467689047159043,14.2424917680803,39018.439509150507,49714.528501077453,32.089325314672216,1500.8658903941607,1023.894156133393
1.35,1.3455511816283046,14.2153134436879,39020.3419950099,49751.409039535058,32.113551172744344,1500.8108564424642,1023.9198169317493
1.65,1.644329244974458,14.204376488916694,39010.548545480226,49752.798079200082,32.113555363910606,1500.7802505056127,1023.9234247186737
1.9500000000000002,1.9431051872612619,14.191736028610205,39009.609651061364,49767.646963359977,32.12309914106757,1500.755262131785,1023.9347442761931
2.25,2.2418781370636642,14.183385811336107,39011.3581976955,49780.483985650324,32.131540523836733,1500.7429343047413,1023.9443251769465
2.55,2.5406494907770596,14.177377708932017,39004.852665574326,49779.81547841274,32.130459038327494,1500.7270728424444,1023.9460736923332
2.85,2.8394192375777445,14.173085994099029,39011.572044798631,49793.845767825485,32.140084921508745,1500.7293355163938,1023.9557289922924
3.15,3.1381881927923461,14.172275554630442,39003.410288925254,49784.458187181794,32.133153467287691,1500.7235382703914,1023.9518889009092
3.4499999999999997,3.4369570075197653,14.167570067832068,39003.330858436188,49790.33776015279,32.1368847893505,1500.7175488029939,1023.9570813224821
3.75,3.7357244525000244,14.161455019629855,39000.70388634142,49794.75847717117,32.139452741254324,1500.7056056017698,1023.9616672045911
4.05,4.0344906324184384,14.158935045088683,39002.231954320167,49799.914003549784,32.142839765080296,1500.7063260384894,1023.9661421419118
4.35,4.3332560894677759,14.157341082261448,38999.781067189047,49798.811652275625,32.141802129430538,1500.704878821598,1023.967011549739
4.6499999999999995,4.6320210468179344,14.155803138391939,39000.3274692214,49801.465355440392,32.143469685741522,1500.7067825044355,1023.9699567703136
4.9499999999999993,4.9307848513206931,14.150603049274912,38999.870663566384,49807.496725505327,32.147268909239244,1500.6992561609841,1023.9753033339434
5.2499999999999991,5.2295480934645511,14.153201809267651,38999.665631544158,49803.928962857957,32.144798394094494,1500.7097846585816,1023.9742009387196
5.55,5.5283125724283417,14.158823860207734,38994.780653534268,49790.54119799527,32.13551212073385,1500.7221744839947,1023.9672146644565
5.85,5.8270766911458134,14.153673664130153,39000.734288133186,49804.693453149615,32.145154480980636,1500.721655864885,1023.9770597026015
6.1499999999999995,6.1258396833226705,14.15071343556618,38992.971263821259,49798.54495882363,32.140377774809529,1500.7113780025481,1023.9753261183466
6.4499999999999993,6.4246016540517576,14.148341300263443,39001.2381766783,49812.120873197564,32.149830560009519,1500.7196836888827,1023.9844509108826
6.7499999999999991,6.7233624050186442,14.147613983002207,38998.07199516015,49809.002423612605,32.147413406376749,1500.7194417803896,1023.9840767162848
7.0499999999999989,7.0221234126833316,14.146125319106959,38993.11524734315,49804.565495925177,32.1439865384513,1500.7155369547138,1023.9830806439073
7.35,7.3208837981689392,14.143486554983154,38996.158561265729,49811.810333360983,32.148865378330328,1500.7176153426176,1023.9887310532126
