Serial Number,WE02710ED
Sample ID,00264
Start Time,2023-09-13 16:15:50 UTC
Duration,0:04:46
Total Volume (l),1.52
Distance (m),253
Peak Pressure (psi),12.2
Avg Flow (l/min),0.3
Avg Rate (mL/m),9.4
Avg Speed (m/s),0.9


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,-0.28,0.02,0.69,0.48,45.171406,-66.308084,3.4,4.2,
2,0.00,0.92,0.01,0.35,0.48,45.171400,-66.308078,3.3,4.2,
4,0.00,3.31,0.00,0.00,0.48,45.171392,-66.308072,3.1,4.2,
6,0.00,4.52,0.00,0.00,0.48,45.171385,-66.308065,3.1,4.2,
8,0.00,4.85,0.00,0.00,0.50,45.171376,-66.308059,3.5,4.2,
10,0.00,4.49,0.00,0.00,0.52,45.171369,-66.308053,3.8,4.2,
12,0.00,8.38,0.00,0.00,0.51,45.171366,-66.308046,3.9,4.2,
14,0.02,9.26,0.41,13.56,0.50,45.171360,-66.308040,3.8,4.2,
16,0.05,9.97,0.84,27.97,0.50,45.171353,-66.308034,3.6,4.2,
18,0.09,9.47,1.09,36.17,0.50,45.171347,-66.308027,3.6,4.2,
20,0.13,9.28,1.07,34.81,0.51,45.171340,-66.308021,3.5,4.2,
22,0.16,7.02,1.04,33.57,0.52,45.171333,-66.308015,3.3,4.2,
24,0.19,7.42,0.92,29.99,0.51,45.171330,-66.308008,3.2,4.2,
26,0.22,7.56,0.92,30.30,0.51,45.171324,-66.308002,3.1,4.2,
28,0.25,7.85,0.91,31.29,0.48,45.171317,-66.307996,3.0,4.5,
30,0.28,7.99,0.90,31.98,0.47,45.171312,-66.307991,2.9,4.5,
32,0.31,8.64,0.90,31.20,0.48,45.171303,-66.307985,2.9,4.5,
34,0.34,8.80,0.90,30.99,0.48,45.171296,-66.307980,2.8,4.5,
36,0.37,9.29,0.90,30.79,0.49,45.171289,-66.307974,2.7,4.5,
38,0.40,9.70,0.90,30.67,0.49,45.171282,-66.307967,2.7,4.2,
40,0.43,10.19,0.90,31.28,0.48,45.171274,-66.307961,2.6,4.2,
42,0.46,10.62,0.90,31.48,0.48,45.171268,-66.307955,2.5,4.2,
44,0.49,11.03,0.89,30.71,0.48,45.171261,-66.307948,2.5,4.2,
46,0.52,11.30,0.89,30.72,0.48,45.171255,-66.307941,2.6,4.2,
48,0.55,11.78,0.89,30.71,0.48,45.171248,-66.307935,2.4,4.2,
50,0.58,11.90,0.87,29.70,0.49,45.171240,-66.307928,2.3,4.2,
52,0.61,11.71,0.82,27.95,0.49,45.171233,-66.307922,2.2,4.2,
54,0.63,12.23,0.83,28.16,0.49,45.171225,-66.307915,2.1,4.2,
56,0.66,11.84,0.77,25.99,0.49,45.171217,-66.307908,2.2,4.2,
58,0.68,12.08,0.74,24.89,0.50,45.171209,-66.307901,2.2,4.2,
60,0.70,11.97,0.70,23.42,0.50,45.171201,-66.307894,2.1,4.2,
62,0.73,12.05,0.66,21.86,0.50,45.171192,-66.307888,2.1,4.2,
64,0.75,11.99,0.60,19.97,0.50,45.171183,-66.307881,2.0,4.2,
66,0.76,12.06,0.54,17.81,0.51,45.171175,-66.307875,1.9,4.2,
68,0.78,11.99,0.51,16.65,0.51,45.171165,-66.307868,1.8,4.2,
70,0.80,12.03,0.49,16.04,0.51,45.171156,-66.307862,1.7,4.2,
72,0.81,12.02,0.48,15.70,0.51,45.171148,-66.307855,1.7,4.2,
74,0.83,12.01,0.46,15.07,0.51,45.171139,-66.307848,1.6,4.2,
76,0.84,12.01,0.44,14.34,0.51,45.171130,-66.307841,1.6,4.2,
78,0.86,12.03,0.43,14.01,0.51,45.171123,-66.307833,1.6,4.2,
80,0.87,12.02,0.42,13.63,0.51,45.171115,-66.307825,1.6,4.2,
82,0.88,11.99,0.40,12.96,0.51,45.171107,-66.307817,1.7,4.2,
84,0.90,12.04,0.39,12.69,0.51,45.171100,-66.307810,1.7,4.2,
86,0.91,12.00,0.37,12.07,0.51,45.171093,-66.307802,1.7,4.2,
88,0.92,11.99,0.36,11.83,0.51,45.171086,-66.307795,1.6,4.2,
90,0.93,12.05,0.36,11.86,0.51,45.171079,-66.307787,1.7,4.2,
92,0.94,11.98,0.34,11.22,0.51,45.171072,-66.307780,1.7,4.2,
94,0.95,12.00,0.33,10.87,0.51,45.171065,-66.307772,1.7,4.2,
96,0.96,12.03,0.32,10.59,0.50,45.171058,-66.307763,1.8,4.2,
98,0.97,11.99,0.29,9.60,0.50,45.171050,-66.307755,1.8,4.2,
100,0.98,12.01,0.29,9.61,0.50,45.171042,-66.307748,1.8,4.2,
102,0.99,12.01,0.28,9.27,0.50,45.171034,-66.307739,2.0,4.2,
104,1.00,12.01,0.27,8.78,0.51,45.171026,-66.307731,1.9,4.2,
106,1.01,11.99,0.26,8.43,0.51,45.171017,-66.307725,1.7,4.2,
108,1.02,12.01,0.26,8.30,0.52,45.171010,-66.307717,1.8,4.1,
110,1.03,11.99,0.25,7.88,0.53,45.171000,-66.307712,1.5,4.1,
112,1.03,12.02,0.24,7.56,0.53,45.170995,-66.307705,1.9,4.1,
114,1.04,12.00,0.23,7.22,0.53,45.170988,-66.307698,1.7,4.1,
116,1.05,12.02,0.23,7.06,0.54,45.170976,-66.307693,1.6,4.1,
118,1.06,12.00,0.22,6.66,0.55,45.170967,-66.307687,1.6,4.1,
120,1.06,11.96,0.22,6.66,0.55,45.170956,-66.307675,1.7,4.1,
122,1.07,12.03,0.22,6.66,0.55,45.170951,-66.307671,1.5,4.1,
124,1.08,12.04,0.21,6.38,0.55,45.170943,-66.307663,1.5,4.1,
126,1.08,12.03,0.20,6.02,0.55,45.170934,-66.307654,1.4,4.1,
128,1.09,11.98,0.19,5.72,0.55,45.170926,-66.307644,1.3,4.1,l
130,1.10,12.01,0.20,5.96,0.57,45.170915,-66.307627,1.2,4.1,
132,1.10,11.98,0.19,5.51,0.58,45.170907,-66.307614,1.0,4.1,l
134,1.11,11.95,0.18,5.10,0.59,45.170901,-66.307601,0.9,4.1,l
136,1.12,12.00,0.19,5.36,0.60,45.170896,-66.307586,0.9,4.1,l
138,1.12,12.03,0.18,5.00,0.61,45.170891,-66.307568,0.7,4.1,l
140,1.13,12.01,0.18,4.81,0.64,45.170889,-66.307548,0.9,4.1,l
142,1.13,12.02,0.17,4.39,0.65,45.170886,-66.307531,0.9,4.1,l
144,1.14,11.99,0.17,4.33,0.66,45.170884,-66.307512,0.9,4.1,l
146,1.14,12.01,0.16,3.98,0.68,45.170882,-66.307492,1.0,4.1,l
148,1.15,11.99,0.15,3.67,0.69,45.170881,-66.307471,1.3,4.1,l
150,1.15,11.99,0.15,3.63,0.69,45.170881,-66.307455,1.3,4.1,l
152,1.16,12.00,0.15,3.65,0.69,45.170883,-66.307437,1.3,4.1,l
154,1.16,11.98,0.16,3.95,0.66,45.170887,-66.307422,1.8,4.1,l
156,1.17,11.99,0.15,3.81,0.64,45.170889,-66.307409,2.1,4.1,l
158,1.17,11.98,0.15,3.99,0.60,45.170892,-66.307399,2.4,4.1,l
160,1.18,12.01,0.14,4.06,0.56,45.170894,-66.307392,2.6,4.1,l
162,1.18,12.03,0.15,4.63,0.52,45.170898,-66.307388,2.6,4.1,l
164,1.19,11.99,0.14,4.79,0.47,45.170897,-66.307385,2.9,4.1,l
166,1.19,12.02,0.14,5.17,0.44,45.170892,-66.307388,2.8,4.1,l
168,1.20,12.00,0.14,5.54,0.41,45.170885,-66.307390,3.1,4.1,l
170,1.20,12.00,0.13,5.33,0.41,45.170872,-66.307393,3.0,4.1,l
172,1.21,11.97,0.12,4.79,0.42,45.170860,-66.307391,3.6,4.1,l
174,1.21,12.02,0.14,5.31,0.46,45.170845,-66.307385,4.1,4.1,l
176,1.21,11.97,0.12,4.18,0.51,45.170830,-66.307382,4.5,4.1,l
178,1.22,11.92,0.11,3.39,0.58,45.170813,-66.307380,4.4,2.1,l
180,1.22,12.01,0.12,3.23,0.65,45.170799,-66.307373,4.1,2.1,l
182,1.23,12.02,0.12,2.91,0.73,45.170786,-66.307365,3.9,2.1,l
184,1.23,12.01,0.12,2.61,0.78,45.170775,-66.307356,3.8,2.1,l
186,1.24,11.90,0.16,3.33,0.81,45.170766,-66.307348,3.7,2.1,l
188,1.24,12.17,0.21,4.31,0.81,45.170761,-66.307341,3.9,2.2,
190,1.25,12.12,0.18,3.79,0.77,45.170758,-66.307335,4.1,2.2,l
192,1.25,11.76,0.06,1.35,0.71,45.170758,-66.307330,4.3,2.2,lm
194,1.25,11.95,0.13,3.19,0.65,45.170760,-66.307325,4.3,2.2,l
196,1.26,12.16,0.21,5.70,0.59,45.170765,-66.307321,4.2,2.2,
198,1.27,12.01,0.16,4.83,0.51,45.170769,-66.307318,4.2,2.1,l
200,1.27,11.84,0.10,3.46,0.45,45.170777,-66.307312,4.2,2.1,l
202,1.28,12.03,0.17,6.63,0.41,45.170786,-66.307305,4.2,2.1,l
204,1.28,12.04,0.19,8.11,0.39,45.170794,-66.307297,4.3,2.1,l
206,1.29,11.93,0.13,5.58,0.40,45.170803,-66.307283,4.3,2.1,l
208,1.29,12.02,0.13,5.16,0.44,45.170811,-66.307266,4.3,2.1,l
210,1.30,11.98,0.14,4.95,0.51,45.170820,-66.307245,4.5,2.1,l
212,1.30,12.17,0.18,5.44,0.60,45.170827,-66.307220,4.6,2.1,l
214,1.31,11.99,0.11,2.84,0.70,45.170830,-66.307191,4.7,2.1,l
216,1.31,11.79,0.04,0.89,0.79,45.170831,-66.307160,4.7,2.1,lm
218,1.31,12.02,0.14,2.78,0.89,45.170829,-66.307125,4.8,2.1,l
220,1.32,11.93,0.15,2.66,0.99,45.170825,-66.307091,5.0,2.1,l
222,1.32,11.01,0.13,2.09,1.09,45.170817,-66.307054,5.0,2.1,l
224,1.34,10.56,0.45,6.59,1.18,45.170806,-66.307018,5.2,2.1,
226,1.37,7.57,0.86,11.67,1.27,45.170793,-66.306981,5.4,2.1,
228,1.42,6.01,1.11,14.02,1.37,45.170776,-66.306942,5.3,2.1,
230,1.44,5.23,0.81,9.56,1.46,45.170759,-66.306901,5.3,2.1,
232,1.45,4.31,0.48,5.33,1.54,45.170740,-66.306859,5.3,2.1,
234,1.46,4.72,0.26,2.74,1.62,45.170719,-66.306817,5.5,2.1,
236,1.46,4.44,0.14,1.40,1.70,45.170699,-66.306774,5.6,2.1,l
238,1.48,3.67,0.44,4.22,1.77,45.170676,-66.306733,5.6,2.1,
240,1.49,3.68,0.29,2.67,1.84,45.170653,-66.306692,5.7,2.1,
242,1.49,3.81,0.17,1.51,1.90,45.170629,-66.306651,5.6,2.1,l
244,1.49,3.52,0.06,0.52,1.96,45.170605,-66.306607,5.6,2.1,lm
246,1.49,3.80,0.02,0.17,2.01,45.170580,-66.306564,5.6,2.1,lm
