Serial Number,WE02710ED
Sample ID,00248
Start Time,2023-09-12 14:46:12 UTC
Duration,0:06:14
Total Volume (l),3.36
Distance (m),97
Peak Pressure (psi),9.2
Avg Flow (l/min),0.5
Avg Rate (mL/m),37.5
Avg Speed (m/s),0.3


Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (±m),Status
0,0.00,-0.99,0.00,0.00,0.18,45.140648,-66.257994,8.3,2.5,
2,0.00,-1.34,0.00,0.00,0.18,45.140646,-66.257996,8.4,2.5,
4,0.00,-1.01,0.00,0.00,0.17,45.140643,-66.257997,8.3,2.5,
6,0.00,-0.80,0.00,0.00,0.17,45.140640,-66.258000,8.2,2.5,
8,0.00,-0.81,0.00,0.00,0.17,45.140638,-66.258003,8.2,2.5,
10,0.00,1.25,0.00,0.00,0.18,45.140634,-66.258004,8.1,2.5,
12,0.00,2.29,0.00,0.00,0.17,45.140632,-66.258005,8.2,2.5,
14,0.00,3.45,0.00,0.00,0.17,45.140629,-66.258007,8.2,2.5,
16,0.00,4.22,0.00,0.00,0.17,45.140627,-66.258011,8.1,2.5,
18,0.00,4.37,0.00,0.00,0.16,45.140624,-66.258013,8.2,2.5,
20,0.00,6.93,0.00,0.00,0.17,45.140621,-66.258016,8.3,2.5,
22,0.00,8.51,0.12,11.53,0.18,45.140618,-66.258019,8.3,2.5,
24,0.03,9.20,0.67,63.37,0.18,45.140615,-66.258022,8.5,2.5,
26,0.07,6.04,0.91,84.80,0.18,45.140614,-66.258025,8.6,2.5,
28,0.09,2.94,0.72,68.16,0.18,45.140612,-66.258029,8.6,2.5,
30,0.11,4.01,0.64,60.62,0.18,45.140610,-66.258031,8.6,2.5,
32,0.13,3.20,0.63,58.35,0.18,45.140608,-66.258035,8.6,2.5,
34,0.15,4.37,0.60,55.49,0.18,45.140606,-66.258038,8.8,2.5,
36,0.17,3.95,0.60,55.28,0.18,45.140605,-66.258041,9.0,2.5,
38,0.19,3.76,0.60,56.12,0.18,45.140604,-66.258044,8.9,2.5,
40,0.21,4.08,0.60,56.48,0.18,45.140602,-66.258048,9.0,2.5,
42,0.23,4.04,0.61,57.75,0.18,45.140601,-66.258050,9.0,2.5,
44,0.25,3.72,0.59,55.20,0.18,45.140600,-66.258054,8.7,2.5,
46,0.27,3.53,0.59,55.78,0.18,45.140600,-66.258059,8.8,2.5,
48,0.29,3.55,0.60,57.13,0.17,45.140600,-66.258062,8.9,2.6,
50,0.31,3.88,0.60,57.65,0.17,45.140599,-66.258065,9.1,2.6,
52,0.33,3.82,0.60,58.91,0.17,45.140598,-66.258069,9.0,2.6,
54,0.35,4.11,0.60,56.74,0.17,45.140597,-66.258074,9.1,2.6,
56,0.37,3.65,0.60,56.72,0.18,45.140597,-66.258078,9.2,2.6,
58,0.39,3.73,0.60,56.24,0.18,45.140597,-66.258084,9.2,5.1,
60,0.41,3.75,0.60,55.25,0.18,45.140596,-66.258089,9.4,5.1,
62,0.43,2.63,0.63,57.72,0.18,45.140595,-66.258093,9.3,5.1,
64,0.45,4.24,0.58,54.72,0.17,45.140595,-66.258099,8.8,5.1,
66,0.47,3.91,0.60,56.24,0.18,45.140596,-66.258107,8.8,5.1,
68,0.49,3.92,0.60,54.17,0.18,45.140595,-66.258110,8.6,5.1,
70,0.51,4.24,0.60,52.71,0.19,45.140596,-66.258114,8.8,5.1,
72,0.53,4.31,0.60,51.76,0.19,45.140595,-66.258118,8.9,5.1,
74,0.55,4.41,0.60,54.38,0.18,45.140594,-66.258122,8.5,5.1,
76,0.57,3.87,0.61,54.78,0.19,45.140592,-66.258125,8.2,5.1,
78,0.59,3.69,0.60,52.95,0.19,45.140590,-66.258130,8.3,5.1,
80,0.61,4.33,0.60,52.83,0.19,45.140588,-66.258135,7.9,5.1,
82,0.63,4.53,0.60,52.37,0.20,45.140586,-66.258140,7.9,5.1,
84,0.65,4.45,0.60,49.50,0.20,45.140584,-66.258146,7.0,5.1,
86,0.67,3.90,0.59,49.12,0.20,45.140583,-66.258153,6.9,5.1,
88,0.69,3.96,0.61,51.71,0.20,45.140583,-66.258156,6.8,5.1,
90,0.71,3.83,0.60,50.35,0.20,45.140581,-66.258161,6.3,5.1,
92,0.73,3.78,0.60,48.79,0.20,45.140577,-66.258164,6.2,5.1,
94,0.75,4.24,0.61,48.90,0.21,45.140579,-66.258168,6.4,5.1,
96,0.77,4.42,0.60,49.32,0.20,45.140579,-66.258173,6.0,5.1,
98,0.79,4.19,0.60,49.64,0.20,45.140578,-66.258177,5.5,5.1,
100,0.81,4.56,0.60,50.45,0.20,45.140578,-66.258182,5.0,5.1,
102,0.83,4.21,0.60,50.04,0.20,45.140578,-66.258187,4.5,5.1,
104,0.85,3.77,0.60,50.24,0.21,45.140576,-66.258191,4.3,5.1,
106,0.87,4.09,0.60,49.76,0.20,45.140575,-66.258195,4.0,5.1,
108,0.89,3.95,0.60,49.33,0.20,45.140574,-66.258197,4.2,5.1,
110,0.91,3.91,0.60,50.85,0.20,45.140574,-66.258200,4.4,5.1,
112,0.93,4.51,0.60,51.02,0.20,45.140575,-66.258205,4.2,5.1,
114,0.95,4.44,0.60,49.49,0.20,45.140574,-66.258210,4.1,5.1,
116,0.97,4.40,0.60,48.17,0.21,45.140573,-66.258214,4.1,5.1,
118,0.99,4.57,0.60,47.79,0.21,45.140573,-66.258218,4.2,5.0,
120,1.01,4.11,0.60,47.44,0.21,45.140572,-66.258223,4.4,5.0,
122,1.03,4.31,0.60,47.21,0.21,45.140572,-66.258228,4.4,5.0,
124,1.05,3.86,0.60,46.76,0.23,45.140575,-66.258236,4.7,5.0,
126,1.07,3.93,0.60,43.16,0.24,45.140577,-66.258243,5.0,5.0,
128,1.09,3.95,0.60,41.89,0.24,45.140576,-66.258248,4.8,5.0,
130,1.11,2.83,0.63,42.17,0.25,45.140579,-66.258254,5.2,5.0,
132,1.13,4.93,0.58,37.99,0.26,45.140577,-66.258261,5.1,5.0,
134,1.15,3.43,0.61,39.17,0.26,45.140577,-66.258268,5.1,5.0,
136,1.17,3.44,0.60,38.57,0.26,45.140577,-66.258275,5.1,5.0,
138,1.19,3.38,0.60,37.40,0.27,45.140578,-66.258279,5.3,5.0,
140,1.21,4.02,0.59,36.31,0.27,45.140577,-66.258284,5.7,5.0,
142,1.23,4.32,0.60,36.80,0.27,45.140577,-66.258289,5.8,5.0,
144,1.25,3.94,0.60,37.73,0.26,45.140577,-66.258298,5.7,5.0,
146,1.27,4.02,0.60,38.95,0.24,45.140576,-66.258305,5.7,5.0,
148,1.29,4.02,0.60,40.68,0.25,45.140575,-66.258311,5.8,5.0,
150,1.31,4.01,0.60,41.98,0.24,45.140573,-66.258317,5.8,5.0,
152,1.33,4.35,0.60,40.62,0.25,45.140572,-66.258331,5.3,5.0,
154,1.35,4.47,0.61,41.73,0.26,45.140572,-66.258338,5.2,5.0,
156,1.37,4.16,0.60,37.59,0.26,45.140571,-66.258344,5.1,5.0,
158,1.39,4.69,0.60,37.91,0.28,45.140571,-66.258356,5.1,5.0,
160,1.41,4.48,0.61,36.72,0.28,45.140568,-66.258362,4.8,5.0,
162,1.43,4.41,0.60,34.42,0.30,45.140569,-66.258371,4.8,5.0,
164,1.45,3.90,0.60,33.74,0.30,45.140567,-66.258376,5.0,5.0,
166,1.47,4.71,0.60,32.59,0.31,45.140567,-66.258382,5.0,5.0,
168,1.49,4.06,0.60,32.14,0.32,45.140566,-66.258389,5.1,5.0,
170,1.51,4.58,0.60,30.84,0.32,45.140565,-66.258396,4.8,5.0,
172,1.53,4.11,0.60,31.55,0.32,45.140564,-66.258402,4.8,5.0,
174,1.55,4.15,0.60,31.20,0.31,45.140560,-66.258406,4.6,5.0,
176,1.57,4.09,0.60,32.66,0.31,45.140559,-66.258413,4.6,5.0,
178,1.59,4.44,0.60,32.36,0.30,45.140559,-66.258420,4.4,5.0,
180,1.61,3.93,0.60,33.03,0.30,45.140558,-66.258428,4.2,5.0,
182,1.63,3.94,0.60,34.16,0.29,45.140558,-66.258434,4.2,5.0,
184,1.65,4.06,0.60,34.04,0.29,45.140558,-66.258439,4.4,5.0,
186,1.67,4.29,0.60,35.59,0.28,45.140558,-66.258444,4.6,5.0,
188,1.69,3.97,0.60,34.86,0.28,45.140556,-66.258450,4.5,5.0,
190,1.71,4.01,0.60,35.36,0.29,45.140555,-66.258456,4.8,5.0,
192,1.73,3.96,0.60,35.20,0.28,45.140554,-66.258461,4.8,5.0,
194,1.75,4.11,0.60,36.12,0.28,45.140553,-66.258466,4.8,5.0,
196,1.77,4.14,0.60,35.71,0.28,45.140554,-66.258472,5.0,5.0,
198,1.79,3.97,0.60,35.93,0.28,45.140552,-66.258478,4.9,5.0,
200,1.81,4.22,0.60,36.31,0.28,45.140550,-66.258484,4.7,5.0,
202,1.83,4.09,0.60,36.28,0.28,45.140550,-66.258491,4.8,5.0,
204,1.85,4.12,0.60,35.89,0.28,45.140549,-66.258498,4.6,5.0,
206,1.87,4.14,0.60,35.82,0.28,45.140548,-66.258505,4.7,5.0,
208,1.89,4.11,0.60,35.44,0.28,45.140547,-66.258511,4.5,5.0,
210,1.91,4.40,0.60,35.78,0.28,45.140547,-66.258517,4.7,5.0,
212,1.93,4.01,0.60,35.78,0.28,45.140546,-66.258524,4.7,5.0,
214,1.95,4.29,0.60,34.93,0.28,45.140547,-66.258530,4.8,5.0,
216,1.97,4.30,0.60,35.96,0.28,45.140547,-66.258536,4.9,5.0,
218,1.99,4.50,0.60,36.17,0.27,45.140546,-66.258541,5.0,5.0,
220,2.01,4.62,0.60,37.00,0.27,45.140546,-66.258547,5.2,5.0,
222,2.03,4.21,0.60,37.31,0.27,45.140546,-66.258553,5.3,5.0,
224,2.05,4.55,0.60,37.29,0.27,45.140546,-66.258560,5.4,5.0,
226,2.07,4.65,0.60,37.50,0.26,45.140544,-66.258567,5.4,5.0,
228,2.09,4.47,0.60,37.80,0.26,45.140542,-66.258574,5.2,5.0,
230,2.11,4.34,0.60,38.44,0.26,45.140542,-66.258580,5.3,5.0,
232,2.13,4.75,0.60,38.02,0.26,45.140540,-66.258587,5.2,5.0,
234,2.15,4.47,0.60,38.74,0.26,45.140540,-66.258593,5.2,5.0,
236,2.17,4.84,0.60,37.82,0.26,45.140542,-66.258600,5.4,5.0,
238,2.19,4.83,0.60,37.65,0.28,45.140541,-66.258606,5.8,5.0,
240,2.21,4.81,0.61,36.54,0.28,45.140538,-66.258613,5.3,5.0,
242,2.23,4.76,0.60,35.25,0.29,45.140536,-66.258620,5.5,5.0,
244,2.25,4.72,0.60,34.05,0.30,45.140533,-66.258630,5.4,5.0,
246,2.27,4.69,0.60,32.30,0.32,45.140532,-66.258640,5.7,5.0,
248,2.29,4.79,0.60,31.08,0.33,45.140529,-66.258648,6.0,5.0,
250,2.31,4.81,0.60,29.74,0.34,45.140527,-66.258657,6.4,5.0,
252,2.33,4.59,0.60,29.43,0.34,45.140525,-66.258666,6.5,5.0,
254,2.35,4.61,0.60,28.84,0.35,45.140524,-66.258673,7.2,5.0,
256,2.37,4.87,0.60,28.73,0.35,45.140523,-66.258680,7.4,5.0,
258,2.39,4.92,0.60,28.12,0.35,45.140523,-66.258688,7.7,5.0,
260,2.41,4.85,0.60,28.57,0.35,45.140521,-66.258696,7.8,5.0,
262,2.43,4.74,0.60,28.45,0.34,45.140521,-66.258705,7.8,5.0,
264,2.45,4.52,0.60,29.78,0.33,45.140520,-66.258713,7.8,5.0,
266,2.47,4.96,0.60,31.42,0.31,45.140521,-66.258720,7.9,5.0,
268,2.49,4.82,0.60,32.80,0.30,45.140519,-66.258728,8.3,5.0,
270,2.51,4.35,0.60,34.15,0.29,45.140518,-66.258736,8.2,5.0,
272,2.53,4.31,0.60,35.66,0.28,45.140517,-66.258742,8.2,5.0,
274,2.55,4.85,0.60,36.26,0.27,45.140518,-66.258751,8.1,5.0,
276,2.57,4.56,0.60,38.04,0.26,45.140519,-66.258758,8.3,5.0,
278,2.59,4.38,0.60,39.60,0.25,45.140518,-66.258765,8.2,5.0,
280,2.61,4.44,0.60,40.85,0.24,45.140517,-66.258772,8.0,5.0,
282,2.63,4.41,0.60,42.19,0.24,45.140515,-66.258777,7.8,5.0,
284,2.65,4.52,0.59,40.93,0.24,45.140514,-66.258784,7.8,5.0,
286,2.67,4.59,0.60,41.75,0.24,45.140513,-66.258790,7.9,5.0,
288,2.69,4.42,0.60,43.10,0.23,45.140512,-66.258797,7.7,5.0,
290,2.71,4.39,0.60,43.94,0.23,45.140512,-66.258803,7.5,5.0,
292,2.73,4.55,0.60,43.93,0.22,45.140510,-66.258808,7.7,5.0,
294,2.75,4.90,0.60,45.23,0.22,45.140509,-66.258812,7.6,5.0,
296,2.77,3.42,0.63,48.11,0.22,45.140507,-66.258817,7.8,5.0,
298,2.79,5.12,0.58,44.56,0.22,45.140506,-66.258821,8.1,4.9,
300,2.81,4.49,0.61,48.06,0.21,45.140505,-66.258825,8.5,4.9,
302,2.83,4.85,0.60,48.58,0.21,45.140504,-66.258829,8.6,4.9,
304,2.85,4.91,0.60,49.00,0.20,45.140502,-66.258833,8.7,4.9,
306,2.87,4.88,0.60,48.46,0.20,45.140502,-66.258840,8.6,4.9,
308,2.89,4.97,0.60,48.73,0.21,45.140502,-66.258843,9.0,4.9,
310,2.91,4.39,0.60,48.79,0.20,45.140500,-66.258847,9.0,4.9,
312,2.93,5.06,0.60,48.46,0.21,45.140500,-66.258854,8.6,4.9,
314,2.95,4.89,0.60,47.68,0.21,45.140498,-66.258859,8.3,4.9,
316,2.97,4.92,0.60,45.44,0.23,45.140498,-66.258866,7.5,4.9,
318,2.99,3.09,0.60,44.11,0.23,45.140498,-66.258874,7.2,4.9,
320,3.01,3.44,0.60,41.48,0.24,45.140497,-66.258880,6.5,4.9,
322,3.03,3.29,0.60,41.13,0.24,45.140495,-66.258881,6.7,4.9,
324,3.05,3.53,0.60,41.14,0.24,45.140493,-66.258885,6.4,4.9,
326,3.07,1.41,0.61,42.46,0.24,45.140491,-66.258889,6.2,4.9,
328,3.09,2.52,0.61,41.82,0.24,45.140490,-66.258895,6.0,4.9,
330,3.11,2.82,0.60,40.36,0.25,45.140489,-66.258899,5.9,4.9,
332,3.13,1.47,0.60,40.40,0.25,45.140488,-66.258905,6.0,4.9,
334,3.16,1.15,0.61,39.77,0.26,45.140487,-66.258911,6.0,4.9,
336,3.17,1.19,0.59,39.45,0.25,45.140486,-66.258916,5.8,4.9,
338,3.19,1.33,0.57,37.83,0.26,45.140483,-66.258923,5.8,4.9,
340,3.21,1.56,0.58,37.29,0.27,45.140481,-66.258937,5.5,4.9,
342,3.23,2.13,0.51,30.07,0.30,45.140477,-66.258945,5.6,4.9,
344,3.24,2.68,0.44,23.64,0.32,45.140471,-66.258956,5.5,4.9,
346,3.26,2.29,0.49,23.70,0.37,45.140464,-66.258968,5.7,4.9,
348,3.27,2.72,0.43,18.50,0.41,45.140455,-66.258977,5.7,4.9,
350,3.28,3.82,0.30,11.75,0.44,45.140449,-66.258986,6.4,4.9,
352,3.28,4.55,0.21,7.60,0.47,45.140440,-66.258990,6.8,4.9,
354,3.29,5.29,0.29,10.07,0.50,45.140432,-66.258995,6.9,4.9,
356,3.31,2.57,0.47,15.04,0.52,45.140424,-66.258999,7.1,4.9,
358,3.34,0.54,0.72,22.79,0.52,45.140418,-66.259000,6.8,4.9,
360,3.35,1.03,0.46,14.68,0.52,45.140412,-66.258997,6.9,4.9,
362,3.36,1.16,0.33,10.66,0.51,45.140404,-66.258991,7.0,4.9,
364,3.36,1.24,0.17,5.64,0.50,45.140399,-66.258984,7.1,4.9,l
366,3.36,1.10,0.08,2.67,0.49,45.140397,-66.258971,7.4,4.9,lm
368,3.36,1.10,0.02,0.69,0.48,45.140398,-66.258960,7.3,4.9,lm
370,3.36,1.16,0.01,0.35,0.49,45.140402,-66.258949,7.1,4.9,lm
372,3.36,1.12,0.00,0.00,0.50,45.140404,-66.258932,7.0,4.9,lm
374,3.36,1.07,0.01,0.33,0.52,45.140402,-66.258911,7.2,4.9,lm
