"zone","station","lon","lat","type","depth"
"Zone 2A","Zone 2A_11",-66.2501324329162,45.1565366616134,"Zonal samples",-6.72082702530335
"Zone 2A","Zone 2A_12",-66.2350487354017,45.1539823599045,"Zonal samples",NA
"Zone 2A","Zone 2A_13",-66.245259998383,45.157887810812,"Zonal samples",-5.76385524456426
"Zone 2A","Zone 2A_14",-66.2509957988568,45.1681649990803,"Zonal samples",NA
"Zone 2A","Zone 2A_15",-66.2502396922974,45.1606464667899,"Zonal samples",-5.94182544803658
"Zone 2A","Zone 2A_16",-66.2478056639507,45.1606952825539,"Zonal samples",-6.10985739264334
"Zone 2A","Zone 2A_17",-66.2481560671695,45.1630760161235,"Zonal samples",-5.61701973575919
"Zone 2A","Zone 2A_18",-66.2488256211519,45.1675663075944,"Zonal samples",NA
"Zone 2A","Zone 2A_19",-66.2569020359068,45.1489275131043,"Zonal samples",-4.92674298141928
"Zone 2A","Zone 2A_20",-66.2512192686101,45.1512304476211,"Zonal samples",-6.96206302839236
