% Device,CC1747005
% File name,CC1747005_20250910_160621
% Cast time (UTC),2025-09-10 16:06:21
% Cast time (local),2025-09-10 13:06:21
% Sample type,Cast
% Cast data,Down & up
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),67.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-01-26
% Temperature calibration date,2024-01-25
% Pressure calibration date,2024-01-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14958151743690826,14.037589767476799,38644.417225867779,49496.418011523114,31.916414747728762,1499.9806569303257,1023.7989405271538
0.44999999999999996,0.44873512553345335,13.94832762566981,38627.008920299275,49587.5064156044,31.974391425936091,1499.7615362732436,1023.8632965210589
0.74999999999999989,0.74787757944479494,13.9110587763386,38598.221998001289,49598.010452329887,31.978735760999811,1499.6494576132266,1023.8755973499292
1.05,1.0470183832536588,13.910396575927734,38594.8125,49594.4733237145,31.976025071322045,1499.6490615829237,1023.8749819350663
1.35,1.3461602239104855,13.906502723693849,38579.875,49580.24019016372,31.965367292259103,1499.6287413483253,1023.8688896365164
1.65,1.6453015154159356,13.897768170068069,38582.116177472344,49594.254365423178,31.974587948471079,1499.6158758970855,1023.8791310275894
1.9500000000000002,1.9444397840195253,13.890196800231934,38586.578125,49609.646260223955,31.984893461775322,1499.6080949105972,1023.8899727408099
2.25,2.2435772874590176,13.888755798339844,38575.79296875,49597.617842014879,31.976021664136425,1499.5979095431412,1023.8847588694497
2.55,2.5427144523807654,13.887120852373327,38583.207427367233,49609.236402252776,31.984110933159915,1499.6069986315247,1023.8926800197895
2.85,2.8418512482405767,13.887757301330566,38575.18359375,49598.107824580213,31.976057981414595,1499.6045894434446,1023.8876752121735
3.15,3.1409885893433693,13.886520385742188,38574.2890625,49598.535276305331,31.976145791797531,1499.6055910249002,1023.8893373987263
3.4499999999999997,3.4401242904068705,13.884920120239258,38584.59765625,49613.831707689504,31.986878286958945,1499.6178968555787,1023.8992922715472
3.75,3.7392586884370336,13.884079933166504,38580.9375,49610.197240506212,31.984082775432352,1499.6168149433304,1023.8986474359593
4.05,4.0383934304073632,13.883588445238681,38576.744655428942,49605.432777581882,31.980505081100702,1499.6159587300419,1023.8973276615689
4.35,4.3375274734535276,13.880690574645998,38580.65625,49614.160242254482,31.986413326688414,1499.6183432950129,1023.9038220138843
4.6499999999999995,4.636661518577653,13.881020545959473,38570.70703125,49600.944740708823,31.976836902612547,1499.6131396204924,1023.8977033426021
4.9499999999999993,4.935795620958455,13.880350112915039,38576.734375,49609.551178123023,31.982843496344863,1499.6229480650197,1023.9038199567041
5.2499999999999991,5.2349286409510727,13.880031909443586,38576.960235223167,49610.247652411512,31.9832007617963,1499.6272798708255,1023.9055030236966
5.4186611005743455,5.4031022373491107,13.878552436828613,38573.73046875,49607.981844779461,31.981385564905821,1499.6230806063184,1023.9051575357905
5.4186611005743455,5.4030507882431733,13.878552436828613,38573.73046875,49607.981844779461,31.981385564905821,1499.6230806063184,1023.9051575357905
5.2499999999999991,5.234877097315791,13.874802538178651,38569.135008779856,49606.856486153723,31.980330701144734,1499.6067498761165,1023.9043519311863
4.9499999999999993,4.9357444434956834,13.876450996226836,38577.234455189886,49615.169937880913,31.986552591481239,1499.6145080719546,1023.9074777678428
4.6499999999999995,4.6366118408887536,13.876566898425484,38574.689455631655,49611.748841426044,31.984222451475972,1499.6071962216468,1023.9043126183624
4.35,4.33747917246845,13.875253790870968,38578.147769866315,49617.87256412147,31.988625699860865,1499.6031003945757,1023.9066373093363
4.05,4.0383464331279626,13.874780155152966,38574.85372756447,49614.240355326176,31.986094873045879,1499.59361825784,1023.9034372040212
3.75,3.7392134443112561,13.877855286278718,38581.809375580233,49619.261519805375,31.990072184792954,1499.6034225789142,1023.9045395287327
3.4499999999999997,3.4400804450400058,13.877270564640922,38580.678424562546,49618.553288630137,31.989631307642217,1499.596029807158,1023.9029757237994
3.15,3.1409469990253842,13.876035566307376,38578.32546967423,49617.103323041556,31.988603746984406,1499.5858143293074,1023.9010913090042
2.85,2.8418126471419574,13.878213194713812,38576.066746793396,49611.419323198861,31.984820644272006,1499.5835621592903,1023.8963844689951
2.55,2.5426779328306992,13.879072473136299,38581.419686327994,49617.206934380993,31.989163646811189,1499.5865241103249,1023.898220309249
2.25,2.2435434997114152,13.882213907717892,38586.486518831727,49619.713798205994,31.991341290227655,1499.5944316452105,1023.8979195165033
1.9500000000000002,1.9444081083309694,13.886365279425165,38583.847359264095,49611.023146561434,31.985563419978426,1499.5963120343956,1023.8912704514356
1.65,1.6452716051530787,13.877748265058587,38573.473687014543,49608.677724890884,31.983278798444562,1499.5604006930612,1023.8899186088331
1.35,1.3461358329918709,13.893515819638763,38602.332427971138,49625.665891175879,31.996903839076783,1499.6231676440002,1023.8958848331686
1.05,1.0469991097739733,13.91778962343475,38614.881889197568,49610.836410330478,31.988386642609253,1499.6878068318163,1023.8830181762454
0.74999999999999989,0.74785881188477943,13.94936861703121,38637.346162846661,49599.451203878933,31.982938541309949,1499.7799311612007,1023.8710244053829
0.44999999999999996,0.4487159836048239,13.948705270347027,38630.282802158988,49591.228429831186,31.977095243942141,1499.765945630927,1023.8653067169372
0.15,0.14957209330484103,13.946370451924338,38626.653228407791,49589.541695661719,31.975807474885929,1499.7518299320723,1023.8634471381968
