% Device,CC1747005
% File name,CC1747005_20250911_170547
% Cast time (UTC),2025-09-11 17:05:47
% Cast time (local),2025-09-11 14:05:47
% Sample type,Cast
% Cast data,Down & up
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),67.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2024-01-26
% Temperature calibration date,2024-01-25
% Pressure calibration date,2024-01-23
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15009758688413813,15.609567293249166,35352.808559237004,43527.684380318387,27.768693729445218,1500.2252246809728,1020.2788982718853
0.44999999999999996,0.44976002518232439,13.368239803639797,38011.53020136417,49535.149899889613,31.887353811446271,1497.7446187308192,1023.9128544498092
0.74999999999999989,0.748855319245599,13.244731947570255,38191.244608063709,49930.072278216161,32.159291530359262,1497.6592451153479,1024.1489434616724
1.05,1.0479149720678933,13.189195322674973,38135.827446175128,49930.1269952811,32.154173288910158,1497.4729101791488,1024.1572998535953
1.35,1.3469745502308499,13.171363830566406,38102.921875,49910.349082796456,32.138251115790851,1497.399517961692,1024.1498448198224
1.65,1.6460332144569241,13.153717041015625,38099.921875,49929.502064035085,32.150251432333782,1497.3597030198735,1024.163949639817
1.9500000000000002,1.9450881425695294,13.141858100891113,38100.6328125,49945.957944311383,32.1608440766855,1497.3375460098514,1024.1758244646564
2.25,2.2441398352499582,13.132805156927006,38102.979888828755,49960.892900515035,32.17060175309765,1497.3237723135544,1024.1865005242614
2.55,2.5431913779140909,13.128435134887695,38083.40234375,49940.945922671126,32.155782991303987,1497.2966018979844,1024.1772420104776
2.85,2.8422431562513344,13.117044448852539,38079.37890625,49950.592257155353,32.161533038739364,1497.2702643495179,1024.1852762881829
3.15,3.14129155677454,13.108139038085938,38088.515625,49974.252989543354,32.177555574037072,1497.2643730406819,1024.2007687495757
3.4499999999999997,3.4403371394689128,13.10223671045207,38085.646849297176,49978.229806715855,32.179743690903265,1497.2521687766173,1024.2049675744486
3.75,3.7393821025828378,13.100997608505683,38083.070392832655,49976.47408624673,32.178251714331516,1497.2512114439339,1024.2054027774138
4.05,4.0384265373196735,13.097549438476563,38082.21875,49979.879692129121,32.180255924901367,1497.2469969153638,1024.2089769061647
4.35,4.3374702802781568,13.094642639160156,38079.2265625,49979.766083112809,32.179787261455992,1497.2416691854662,1024.210531391333
4.6499999999999995,4.63651277820729,13.092149596678055,38084.699803087948,49990.2213531279,32.186932440975156,1497.2467269343172,1024.2178953061089
4.9499999999999993,4.9355548079708491,13.091724395751953,38077.3046875,49981.072387138294,32.18021585008448,1497.2423146230731,1024.2141283145008
5.2499999999999991,5.2345964817471389,13.092043303763123,38085.016518436751,49990.776570752139,32.187081840576269,1497.2564508083092,1024.2207238538651
5.55,5.5336375076601669,13.091974258422852,38080.78515625,49985.313045082752,32.1830398186386,1497.2563923272126,1024.218956188671
5.85,5.832678352677461,13.09065277086531,38082.181056753143,49988.879536715838,32.185355002140945,1497.2596593081373,1024.222353026516
6.1499999999999995,6.1317187308824943,13.091711044311523,38081.9609375,49987.201799887407,32.18413064550414,1497.2667042167861,1024.2225438943679
6.4499999999999993,6.4307591743586867,13.090142157520468,38078.060149074656,49984.140242381021,32.181672072088631,1497.2634992054936,1024.2222959435562
6.7499999999999991,6.7297989311257069,13.088806027079786,38082.110863743481,49991.211114189893,32.186497722072595,1497.2696852422228,1024.2276379406994
7.0499999999999989,7.0288374667377242,13.0910005569458,38087.6484375,49995.599853775449,32.189726684243965,1497.285797656866,1024.2310510145605
7.35,7.3278752325218379,13.09067568523184,38088.637048312652,49997.323968553312,32.19081317335732,1497.2909467066174,1024.2333014120504
7.6499999999999995,7.6269133834188727,13.090454469219274,38080.476192459158,49986.90186701739,32.183202904835085,1497.286160080623,1024.2288029607396
7.9499999999999993,7.9259519949127109,13.091045741058261,38081.827876257106,49987.9002208763,32.183853696906269,1497.2938595015899,1024.2305362717366
8.1574192047119141,8.1327057979110862,13.088638620040319,38085.419581284477,49995.774279585115,32.189193032588619,1497.2955412227143,1024.2360706898739
8.1574192047119141,8.1314205785276936,13.088638620040319,38085.419581284477,49995.774279585115,32.189193032588619,1497.2955412227143,1024.2360706898739
7.9499999999999993,7.9246667756133204,13.091045741058261,38081.827876257106,49987.9002208763,32.183853696906269,1497.2938595015899,1024.2305362717366
7.6499999999999995,7.6256290747090256,13.09118865603072,38089.90412081009,49998.313868290868,32.191450692557524,1497.2983683883449,1024.2350398268848
7.35,7.32659164158062,13.095552597786599,38092.53732326928,49996.042484868049,32.190344522288306,1497.306710043114,1024.2319805541031
7.0499999999999989,7.0275539330361338,13.099341310186658,38099.775084372617,50000.569267303639,32.194058186799175,1497.3188240433901,1024.2327631409657
6.7499999999999991,6.7285163959769676,13.09658628856273,38098.2712675558,50002.211456664787,32.195100698730378,1497.3058884107011,1024.2327652303297
6.4499999999999993,6.4294790435481115,13.101432257229691,38106.872556344089,50007.139231771747,32.199199404378142,1497.3219936088528,1024.2336378638486
6.1499999999999995,6.1304412923912608,13.104690339352288,38106.926313429445,50002.93398799104,32.196604475301179,1497.3248722634808,1024.229643846166
5.85,5.8314022161881773,13.100471094037195,38096.183557131764,49994.373380719037,32.190198368498805,1497.2982340545482,1024.2241710832086
5.55,5.5323620167041732,13.109519861773455,38104.923085115472,49993.968991639551,32.190861316174541,1497.3243325559276,1024.2215592349826
5.2499999999999991,5.2333208355127141,13.109463458837139,38100.391430246244,49988.097407090638,32.186766383532621,1497.3143516114449,1024.2170563302661
4.9499999999999993,4.9342796029476306,13.108849241043442,38106.562902781268,49997.0002528183,32.193211286851081,1497.3149645416436,1024.2208172935118
4.6499999999999995,4.6352382838264941,13.114678910282825,38108.59999134297,49992.0254884553,32.190300859690218,1497.326068064473,1024.216073395829
4.35,4.33619581514122,13.116217026123577,38107.287129568373,49988.285961656315,32.187880881830623,1497.3233992112844,1024.2125527747728
4.05,4.0371525755951829,13.125647337675058,38117.1115679165,49988.805737928909,32.189239581685335,1497.3515831475795,1024.2104030227054
3.75,3.7381078391375127,13.131794938583745,38114.36472832763,49977.144781298404,32.181563563778347,1497.3581092267755,1024.2019091235213
3.4499999999999997,3.4390625018047873,13.131947824283223,38121.75155955935,49986.630286012587,32.1884970920103,1497.3618631660206,1024.2058970799585
3.15,3.140016984625531,13.128788752349207,38112.057363748187,49978.059375673205,32.182181860541327,1497.3388879357221,1024.2002871907816
2.85,2.8409701882305551,13.142400499647128,38124.871309107606,49977.02138524333,32.182805418334091,1497.3801665757928,1024.1967447118509
2.55,2.5419221784165851,13.137735575757278,38114.029343843948,49968.920241913373,32.176689248971158,1497.3523973751412,1024.1915856038418
2.25,2.2428751503763613,13.130063764830755,38122.562882730934,49990.16408398097,32.191334801164473,1497.3391128264611,1024.2030795960777
1.9500000000000002,1.9438290160387926,13.133744930061274,38120.680008681476,49982.869606166714,32.186562298350559,1497.3408247613511,1024.1973171622694
1.65,1.6447812118671956,13.142306706989478,38124.1030653509,49976.13720405216,32.182639890363404,1497.3598506667724,1024.1912516675629
1.35,1.3457322912725944,13.156762817401525,38140.072462625,49978.129231171428,32.185510876690259,1497.40658902753,1024.1892800034852
1.05,1.0466818587236331,13.158012865257762,38131.190472166272,49964.853524754806,32.176226135177387,1497.3948420022157,1024.1805054009597
0.74999999999999989,0.747630169284061,13.161740797527118,38136.979752668252,49967.557762904165,32.178624946233832,1497.4051764086983,1024.18028083072
0.44999999999999996,0.448578468717679,13.168913341466833,38146.788055679979,49971.016615551882,32.181879379881046,1497.4280235010815,1024.1800391639454
0.15,0.14952631778737829,13.181090209503477,38158.467804248867,49970.374856859147,32.182649663555608,1497.4646377280631,1024.1768885830518
