Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2023-09-13 14:25:01.000,-0.0010760,18.5920417,10.1550207,0.0225207,0.0223371,0.0096992,1477.9648967,-1.2259306,-1.5070376
2023-09-13 14:25:01.500,-0.0000894,18.6050322,10.1555010,0.0230010,0.0228135,0.0097050,1478.0063187,-0.1017944,-1.5095180
2023-09-13 14:25:02.000,-0.0009313,18.6228396,10.1550397,0.0225397,0.0223559,0.0097130,1478.0630586,-1.0603341,-1.5129264
2023-09-13 14:25:02.500,-0.0004375,18.6395223,10.1550896,0.0225896,0.0224054,0.0097204,1478.1161982,-0.4979254,-1.5161204
2023-09-13 14:25:03.000,-0.0000378,18.6557338,10.1554085,0.0229085,0.0227217,0.0097277,1478.1678191,-0.0429649,-1.5192258
2023-09-13 14:25:03.500,0.0003428,18.6685371,10.1548150,0.0223150,0.0221331,0.0094086,1478.2081730,0.3898684,-1.5219341
2023-09-13 14:25:04.000,-0.0008402,18.6829498,10.1551076,0.0226076,0.0224232,0.0097398,1478.2544167,-0.9553908,-1.5244494
2023-09-13 14:25:04.500,0.0000858,18.6980451,10.1553447,0.0228447,0.0226584,0.0095371,1478.3021795,0.0975222,-1.5275094
2023-09-13 14:25:05.000,0.0005249,18.7058281,10.1553626,0.0228626,0.0226762,0.0094025,1478.3267609,0.5965672,-1.5291117
2023-09-13 14:25:05.500,-0.0005315,18.7079158,10.1553008,0.0228008,0.0226149,0.0097509,1478.3338076,-0.6040894,-1.5292461
2023-09-13 14:25:06.000,-0.0000762,18.7059879,10.1554786,0.0229786,0.0227912,0.0097500,1478.3276823,-0.0865803,-1.5288746
2023-09-13 14:25:06.500,0.0001596,18.7076838,10.1559270,0.0234270,0.0232360,0.0094883,1478.3327697,0.1814134,-1.5294005
2023-09-13 14:25:07.000,-0.0005458,18.7058952,10.1556250,0.0231250,0.0229364,0.0097500,1478.3273897,-0.6202664,-1.5288560
2023-09-13 14:25:07.500,-0.0005458,18.7047302,10.1556980,0.0231980,0.0230089,0.0097495,1478.3236876,-0.6202821,-1.5286317
2023-09-13 14:25:08.000,-0.0000215,18.7061683,10.1562336,0.0237336,0.0235401,0.0097501,1478.3282682,-0.0244761,-1.5289058
2023-09-13 14:25:08.500,-0.0002593,18.7000913,10.1562556,0.0237556,0.0235619,0.0097474,1478.3089485,-0.2947491,-1.5277374
2023-09-13 14:25:09.000,32.0881531,18.2115002,10.2242490,0.0917490,0.0910008,23.3884840,1503.2830486,36865.0048295,16.3549042
2023-09-13 14:25:09.500,34.9997818,16.7562045,10.2685223,0.1360223,0.1349131,26.6831999,1502.5784692,41536.8359589,19.1976815
2023-09-13 14:25:10.000,34.9965586,16.2002053,10.2905762,0.1580762,0.1567871,27.0532936,1501.2694614,42063.2632863,19.6028675
2023-09-13 14:25:10.500,34.9940038,15.9696757,10.3208656,0.1883656,0.1868295,27.2081484,1500.7224708,42284.0225139,19.7714102
2023-09-13 14:25:11.000,35.0120201,15.8579407,10.3598424,0.2273424,0.2254885,27.3003572,1500.4761817,42415.1954446,19.8662305
2023-09-13 14:25:11.500,35.0149511,15.8092207,10.4052798,0.2727798,0.2705554,27.3364310,1500.3642472,42466.6309180,19.9045086
2023-09-13 14:25:12.000,34.9393782,15.7860199,10.4725641,0.3400641,0.3372910,27.2870001,1500.2349243,42397.7668242,19.8718460
2023-09-13 14:25:12.500,34.9559898,15.7796314,10.4759680,0.3434680,0.3406671,27.3057762,1500.2363563,42424.2075144,19.8876241
2023-09-13 14:25:13.000,34.9006380,15.7793653,10.4666771,0.3341771,0.3314520,27.2580544,1500.1803933,42357.2913854,19.8510366
2023-09-13 14:25:13.500,34.8919105,15.7768793,10.4425432,0.3100432,0.3075149,27.2522186,1500.1653908,42349.1403639,19.8469822
2023-09-13 14:25:14.000,34.8858434,15.7817308,10.5523682,0.4198682,0.4164443,27.2435979,1500.1726596,42337.0138956,19.8398282
2023-09-13 14:25:14.500,34.8855894,15.7790238,10.5379744,0.4054744,0.4021679,27.2452434,1500.1657343,42339.3628768,19.8416025
2023-09-13 14:25:15.000,34.8706142,15.7638725,10.6142078,0.4817078,0.4777796,27.2426737,1500.1159873,42336.0608307,19.8431988
2023-09-13 14:25:15.500,34.8790131,15.7582233,10.6715565,0.5390565,0.5346606,27.2538114,1500.1118462,42351.8073426,19.8532007
2023-09-13 14:25:16.000,34.8750407,15.7532120,10.7477396,0.6152396,0.6102225,27.2537948,1500.0971888,42351.9073851,19.8545952
2023-09-13 14:25:16.500,34.8923062,15.7482761,10.8078334,0.6753334,0.6698263,27.2721239,1500.1036387,42377.7271815,19.8699736
2023-09-13 14:25:17.000,34.9026154,15.7418945,10.8478622,0.7153622,0.7095287,27.2854352,1500.0993875,42396.5258439,19.8817209
2023-09-13 14:25:17.500,34.8950723,15.7312406,10.9258740,0.7933740,0.7869044,27.2862146,1500.0677636,42397.8456162,19.8849338
2023-09-13 14:25:18.000,34.9062352,15.7239862,10.9866183,0.8541183,0.8471533,27.3008682,1500.0626255,42418.5516138,19.8979886
2023-09-13 14:25:18.500,34.9477475,15.7162703,11.0102914,0.8777914,0.8706334,27.3421682,1500.0861153,42476.6067802,19.9314168
2023-09-13 14:25:19.000,34.9626114,15.7000971,11.0255218,0.8930218,0.8857395,27.3662281,1500.0627408,42510.6376688,19.9533799
2023-09-13 14:25:19.500,34.9841755,15.6808341,11.0842206,0.9517206,0.9439597,27.3982464,1500.0394299,42555.8992470,19.9822985
2023-09-13 14:25:20.000,35.0308001,15.6561847,11.2946885,1.1621885,1.1527113,27.4557487,1500.0308738,42637.0391501,20.0325914
2023-09-13 14:25:20.500,35.0360814,15.6267586,11.3097290,1.1772290,1.1676291,27.4807716,1499.9664124,42672.6654437,20.0581006
2023-09-13 14:25:21.000,35.0500172,15.6040147,11.3098391,1.1773391,1.1677383,27.5087088,1499.9262771,42712.2429046,20.0843587
2023-09-13 14:25:21.500,35.0559173,15.5937124,11.3229944,1.1904944,1.1807863,27.5210102,1499.9078964,42729.6813986,20.0960395
2023-09-13 14:25:22.000,35.0622946,15.5899910,11.3231857,1.1906857,1.1809761,27.5291516,1499.9054463,42741.1586465,20.1030761
2023-09-13 14:25:22.500,35.0593239,15.5874231,11.3522390,1.2197390,1.2097924,27.5283460,1499.8968223,42740.0933046,20.1031316
2023-09-13 14:25:23.000,35.0566267,15.5859887,11.3416686,1.2091686,1.1993083,27.5270014,1499.8905296,42738.2329451,20.1023561
2023-09-13 14:25:23.500,35.0451168,15.5840529,11.3165714,1.1840714,1.1744157,27.5183412,1499.8739586,42726.1274367,20.0960075
2023-09-13 14:25:24.000,35.0653192,15.5831100,11.2999481,1.1674481,1.1579280,27.5365862,1499.8917337,42751.6965725,20.1101344
2023-09-13 14:25:24.500,35.0654832,15.5821120,11.2958876,1.1633876,1.1539006,27.5374258,1499.8894578,42752.8903751,20.1109718
2023-09-13 14:25:25.000,35.0665922,15.5799355,11.3178917,1.1853917,1.1757253,27.5399010,1499.8857475,42756.4101068,20.1134306
2023-09-13 14:25:25.500,35.0550831,15.5800207,11.2828121,1.1503121,1.1409318,27.5298352,1499.8738240,42742.2922487,20.1055306
2023-09-13 14:25:26.000,35.0500207,15.5840829,11.2774315,1.1449315,1.1355950,27.5226007,1499.8783221,42732.0761891,20.0990948
2023-09-13 14:25:26.500,35.0644278,15.5853969,11.2761391,1.1436391,1.1343131,27.5342243,1499.8958959,42748.3326016,20.1077311
2023-09-13 14:25:27.000,35.0713115,15.5828041,11.2850697,1.1525697,1.1431709,27.5420199,1499.8967834,42759.3070942,20.1143026
2023-09-13 14:25:27.500,35.0667763,15.5827439,11.3034653,1.1709653,1.1614165,27.5381084,1499.8923826,42753.8376290,20.1113958
2023-09-13 14:25:28.000,35.0643171,15.5825684,11.3130947,1.1805947,1.1709673,27.5360872,1499.8896508,42751.0141915,20.1099250
2023-09-13 14:25:28.500,35.0627890,15.5817910,11.3042139,1.1717139,1.1621590,27.5353018,1499.8861226,42749.9250873,20.1094470
2023-09-13 14:25:29.000,35.0640471,15.5806526,11.2963297,1.1638297,1.1543390,27.5371928,1499.8845494,42752.5926679,20.1111039
2023-09-13 14:25:29.500,35.0619512,15.5805874,11.3003882,1.1678882,1.1583645,27.5354126,1499.8823549,42750.1021718,20.1097697
2023-09-13 14:25:30.000,35.0532259,15.5803517,11.2237725,1.0912725,1.0823736,27.5280072,1499.8717925,42739.6982645,20.1037934
2023-09-13 14:25:30.500,35.0459629,15.5856828,11.1644279,1.0319279,1.0235129,27.5179917,1499.8762294,42725.5369949,20.0947133
2023-09-13 14:25:31.000,35.0250511,15.5941287,11.1083913,0.9758913,0.9679332,27.4939351,1499.8744357,42691.6447731,20.0742133
2023-09-13 14:25:31.500,35.0179875,15.5998165,11.0488302,0.9163302,0.9088579,27.4838534,1499.8799250,42677.3825065,20.0650059
2023-09-13 14:25:32.000,35.0259282,15.6027457,11.0848416,0.9523416,0.9445756,27.4887115,1499.8954484,42684.1489376,20.0682748
2023-09-13 14:25:32.500,35.0180383,15.6013663,11.0926379,0.9601379,0.9523083,27.4828056,1499.8843738,42675.9044437,20.0640698
2023-09-13 14:25:33.000,35.0357087,15.5991092,11.1983728,1.0658728,1.0571810,27.4997120,1499.8984423,42699.6829048,20.0779947
2023-09-13 14:25:33.500,35.0561253,15.5925739,11.2759173,1.1434173,1.1340932,27.5219994,1499.9046352,42731.0679188,20.0968290
2023-09-13 14:25:34.000,35.0541778,15.5859386,11.2610096,1.1285096,1.1193070,27.5249313,1499.8866478,42735.2974396,20.1004171
2023-09-13 14:25:34.500,35.0467091,15.5836968,11.2745845,1.1420845,1.1327712,27.5199886,1499.8740314,42728.4231353,20.0971592
2023-09-13 14:25:35.000,35.0578193,15.5840027,11.2757332,1.1432332,1.1339105,27.5294444,1499.8859350,42741.6639337,20.1043562
2023-09-13 14:25:35.500,35.0693478,15.5810789,11.2790337,1.1465337,1.1371841,27.5415152,1499.8906083,42758.6311440,20.1142534
2023-09-13 14:25:36.000,35.0699866,15.5781702,11.2690456,1.1365456,1.1272775,27.5441023,1499.8841667,42762.3073538,20.1168098
2023-09-13 14:25:36.500,35.0738856,15.5775934,11.2714562,1.1389562,1.1296684,27.5478977,1499.8867497,42767.6360570,20.1198555
2023-09-13 14:25:37.000,35.0747410,15.5775333,11.2766117,1.1441117,1.1347819,27.5486827,1499.8875491,42768.7390692,20.1204937
